grain_ID;grain_R;grain volume;b/a;a;b;c
1,00;6,20;997,6594824;0,36;12,27138311;4,405549703;4,405549703
2,00;8,20;2309,614024;0,22;22,80912663;4,916670125;4,916670125
3,00;4,38;352,7258928;0,66;5,755990254;3,824849411;3,824849411
4,00;5,37;647,998842;0,47;8,936577451;4,160611819;4,160611819
5,00;6,50;1149,595494;0,32;14,01545084;4,425116263;4,425116263
6,00;5,37;647,998842;0,47;8,936577451;4,160611819;4,160611819
7,00;4,38;352,7258928;0,66;5,755990254;3,824849411;3,824849411
8,00;4,60;408,9096553;0,74;5,630721943;4,163775806;4,163775806
9,00;5,37;647,998842;0,47;8,936577451;4,160611819;4,160611819
10,00;4,38;352,7258928;0,66;5,755990254;3,824849411;3,824849411
11,00;4,38;352,7258928;0,66;5,755990254;3,824849411;3,824849411
12,00;6,93;1394,271513;0,29;15,69493297;4,605212129;4,605212129
13,00;4,38;352,7258928;0,66;5,755990254;3,824849411;3,824849411
14,00;8,48;2553,903852;0,46;14,20216877;6,552101738;6,552101738
15,00;7,37;1677,856565;0,50;11,62894823;5,868983554;5,868983554
16,00;7,37;1677,856565;0,50;11,62894823;5,868983554;5,868983554
17,00;7,37;1677,856565;0,57;10,78201436;6,0951326;6,0951326
18,00;8,58;2642,213567;0,35;17,27659585;6,042415246;6,042415246
19,00;7,37;1677,856565;0,57;10,78201436;6,0951326;6,0951326
20,00;8,58;2642,213567;0,34;17,47920564;6,007292914;6,007292914
21,00;9,95;4130,614133;0,32;21,10083573;6,836175138;6,836175138
22,00;5,55;716,2464425;0,79;6,488912248;5,133351272;5,133351272
23,00;5,79;811,4263671;0,49;9,291859148;4,565926797;4,565926797
24,00;14,74;13427,37353;0,30;32,7871149;9,887798995;9,887798995
25,00;9,01;3064,734898;0,69;11,54354598;7,961273313;7,961273313
26,00;7,26;1602,10403;0,87;7,942372914;6,9394638;6,9394638
27,00;9,28;3350,59457;0,72;11,59691263;8,30511103;8,30511103
28,00;10,92;5459,392324;0,61;15,10684315;9,288401665;9,288401665
29,00;11,66;6636,599653;0,56;17,25879807;9,581273371;9,581273371
30,00;15,89;16810,75983;0,28;36,75575922;10,44928725;10,44928725
31,00;18,09;24782,27522;0,24;46,32291577;11,30129832;11,30129832
32,00;10,49;4835,406514;0,64;14,19816452;9,016875823;9,016875823
33,00;14,17;11925,48337;0,72;17,67404073;12,69187439;12,69187439
34,00;13,78;10961,94477;0,36;27,18152895;9,812113409;9,812113409
35,00;16,47;18700,46607;0,42;29,225138;12,35957751;12,35957751
36,00;12,15;7503,803692;0,80;14,12628531;11,26114215;11,26114215
37,00;3,99;265,9615203;0,55;5,920832418;3,274716546;3,274716546
38,00;19,35;30367,20973;0,53;29,52316365;15,6702777;15,6702777
39,00;18,68;27317,16237;0,59;26,60411889;15,65665736;15,65665736
40,00;9,36;3430,542792;0,74;11,42719537;8,46578607;8,46578607
41,00;16,89;20195,80617;0,54;25,53905617;13,73990945;13,73990945
42,00;20,48;35966,28959;0,37;39,86370671;14,67623558;14,67623558
43,00;10,79;5257,190339;0,60;15,23279857;9,077007541;9,077007541
44,00;19,96;33316,09508;0,37;38,50286516;14,37262908;14,37262908
45,00;14,17;11925,48337;0,62;19,58066865;12,05812917;12,05812917
46,00;16,94;20370,99826;0,49;27,11564199;13,39219936;13,39219936
47,00;12,69;8563,958677;0,81;14,55904708;11,85022242;11,85022242
48,00;13,95;11368,03441;0,75;16,85360729;12,68971739;12,68971739
49,00;13,83;11080,37539;0,67;17,98780619;12,12673348;12,12673348
50,00;17,73;23330,6409;0,37;34,26136719;12,75019084;12,75019084
51,00;14,69;13275,87836;0,77;17,47706024;13,46645041;13,46645041
52,00;18,16;25093,23458;0,60;25,5984526;15,297736;15,297736
53,00;20,59;36567,71457;0,52;31,67875093;16,60047748;16,60047748
54,00;12,77;8727,796355;0,52;19,77706491;10,26424661;10,26424661
55,00;15,30;15000,63607;0,77;18,17010849;14,03885772;14,03885772
56,00;17,94;24190,64984;0,87;19,62309898;17,15519527;17,15519527
57,00;18,77;27705,0141;0,51;29,35401618;15,01070598;15,01070598
58,00;22,91;50344,04579;0,24;58,5526721;14,32703733;14,32703733
59,00;12,05;7326,64872;0,46;20,13210771;9,321026818;9,321026818
60,00;24,81;63977,93473;0,38;47,40050623;17,95061423;17,95061423
61,00;16,23;17924,014;0,81;18,66149673;15,14258765;15,14258765
62,00;17,86;23851,74659;0,58;25,77957304;14,86202298;14,86202298
63,00;19,47;30935,83703;0,67;25,37498634;17,06018445;17,06018445
64,00;17,16;21162,95941;0,77;20,4925801;15,70166019;15,70166019
65,00;19,45;30838,64038;0,88;21,18992887;18,6396845;18,6396845
66,00;17,66;23084,52841;0,80;20,42317744;16,42685953;16,42685953
67,00;18,39;26065,92271;0,91;19,51875963;17,85525837;17,85525837
68,00;8,92;2973,540194;0,55;13,24220479;7,321708798;7,321708798
69,00;4,89;488,6025119;0,74;5,957798479;4,424769363;4,424769363
70,00;19,72;32118,61555;0,78;23,31742473;18,13400838;18,13400838
71,00;23,98;57780,93653;0,64;32,20250735;20,69679699;20,69679699
72,00;25,12;66419,59125;0,43;44,14794617;18,95171612;18,95171612
73,00;23,68;55644,40074;0,56;34,92945068;19,50161383;19,50161383
74,00;21,04;39006,38963;0,81;24,29871429;19,57635921;19,57635921
75,00;22,15;45524,57056;0,70;27,97853883;19,70906897;19,70906897
76,00;23,54;54666,2898;0,86;25,95370681;22,42414009;22,42414009
77,00;13,36;9979,995924;0,76;16,10730169;12,1621255;12,1621255
78,00;20,86;37996,25222;0,75;25,3181634;18,92822881;18,92822881
79,00;20,00;33487,48247;0,86;22,03998709;19,04545169;19,04545169
80,00;6,31;1051,305217;0,64;8,449774004;5,450013254;5,450013254
81,00;12,30;7787,610372;0,51;19,25005366;9,827472349;9,827472349
82,00;8,46;2538,853126;0,72;10,5470113;7,580708174;7,580708174
83,00;19,90;33006,82281;0,66;26,22322456;17,33462732;17,33462732
84,00;6,91;1381,976598;0,61;9,653290181;5,846128526;5,846128526
85,00;17,39;22026,68842;0,87;19,1246201;16,5818847;16,5818847
86,00;24,64;62643,24554;0,80;28,6121308;22,86218421;22,86218421
87,00;12,69;8568,6293;0,75;15,31951229;11,55550429;11,55550429
88,00;15,96;17021,53731;0,58;22,90239256;13,32032001;13,32032001
89,00;21,98;44492,23972;0,84;24,69797323;20,73801441;20,73801441
90,00;13,82;11055,81279;0,65;18,42484621;11,96875832;11,96875832
91,00;10,93;5462,742159;0,69;14,0331466;9,640143871;9,640143871
92,00;25,85;72392,36125;0,56;38,15913254;21,28152864;21,28152864
93,00;15,19;14684,8938;0,81;17,52774382;14,14256202;14,14256202
94,00;11,97;7180,961044;0,47;19,92585293;9,275525429;9,275525429
95,00;3,99;265,9615203;0,55;5,920832418;3,274716546;3,274716546
96,00;18,71;27444,34232;0,38;35,94192189;13,50148261;13,50148261
97,00;30,63;120322,0885;0,67;40,19046055;26,73418104;26,73418104
98,00;8,92;2973,540194;0,66;11,75698331;7,770422821;7,770422821
99,00;23,55;54674,95341;0,82;26,97885456;21,99571849;21,99571849
100,00;5,64;752,2527779;0,30;12,51762838;3,787708672;3,787708672
101,00;20,24;34752,38834;0,90;21,7506871;19,53041777;19,53041777
102,00;24,98;65256,93096;0,84;28,16405256;23,51914041;23,51914041
103,00;28,29;94888,48938;0,55;42,18037984;23,17433169;23,17433169
104,00;13,63;10595,02536;0,91;14,50789217;13,20397022;13,20397022
105,00;5,64;752,2527779;0,53;8,579851754;4,57506958;4,57506958
106,00;20,15;34247,51604;0,65;26,82210815;17,45917747;17,45917747
107,00;5,64;752,2527779;0,53;8,579851754;4,57506958;4,57506958
108,00;24,37;60613,33879;0,76;29,22639065;22,25113694;22,25113694
109,00;19,75;32252,83784;0,80;23,0097416;18,29295184;18,29295184
110,00;15,77;16426,64402;0,64;21,22959052;13,59124713;13,59124713
111,00;5,64;752,2527779;0,56;8,298463759;4,651989701;4,651989701
112,00;16,69;19470,44512;0,56;24,61302866;13,74235321;13,74235321
113,00;29,25;104784,5637;0,75;35,5547858;26,52499537;26,52499537
114,00;22,57;48144,17778;0,68;29,16642153;19,85116542;19,85116542
115,00;27,41;86264,05778;0,82;31,17134749;25,70353457;25,70353457
116,00;22,74;49276,9533;0,75;27,66819373;20,61993138;20,61993138
117,00;34,49;171833,2949;0,43;60,11167971;26,12341335;26,12341335
118,00;4,38;352,7258928;0,66;5,755990254;3,824849411;3,824849411
119,00;13,53;10372,07306;0,89;14,64151909;13,00455243;13,00455243
120,00;8,62;2680,429124;0,61;12,03766672;7,290993346;7,290993346
121,00;21,48;41535,15192;0,93;22,55441862;20,96755441;20,96755441
122,00;18,24;25404,36539;0,74;22,22133814;16,52056008;16,52056008
123,00;30,45;118217,1249;0,82;34,64877007;28,53986932;28,53986932
124,00;28,88;100923,5266;0,83;32,62973947;27,17347004;27,17347004
125,00;18,06;24685,93596;0,82;20,63301453;16,90048439;16,90048439
126,00;22,03;44799,02537;0,85;24,48823478;20,89831341;20,89831341
127,00;23,09;51568,6803;0,68;29,74331957;20,34482626;20,34482626
128,00;6,78;1303,561757;0,61;9,432490257;5,743919149;5,743919149
129,00;5,82;823,8671914;0,56;8,530839573;4,801626911;4,801626911
130,00;4,35;344,1670062;0,70;5,506966432;3,862638792;3,862638792
131,00;24,93;64932,01182;0,78;29,48034574;22,93078058;22,93078058
132,00;4,89;488,6025119;0,74;5,957798479;4,424769363;4,424769363
133,00;24,60;62344,58133;0,41;44,52557159;18,28311959;18,28311959
134,00;4,89;488,6025119;0,74;5,957798479;4,424769363;4,424769363
135,00;9,77;3908,820095;0,81;11,23988029;9,111663942;9,111663942
136,00;35,00;179526,9304;0,77;41,69530272;32,06099027;32,06099027
137,00;9,03;3082,419335;0,37;17,5401832;6,477158027;6,477158027
138,00;16,45;18641,9865;0,59;23,26804296;13,82998985;13,82998985
139,00;14,08;11703,61159;0,70;17,91618848;12,4879984;12,4879984
140,00;7,51;1772,67995;0,81;8,67333614;6,985182747;6,985182747
141,00;21,20;39934,33761;0,57;30,7528551;17,60703457;17,60703457
142,00;14,66;13192,26783;0,63;19,95781409;12,56200433;12,56200433
143,00;26,16;74993,13168;0,90;28,06862309;25,25549505;25,25549505
144,00;7,46;1741,489552;0,62;10,29801368;6,353885726;6,353885726
145,00;9,77;3908,820095;0,94;10,21135203;9,559538186;9,559538186
146,00;18,06;24685,93596;0,58;25,9587463;15,06741109;15,06741109
147,00;16,69;19470,44512;0,51;26,21535449;13,31575415;13,31575415
148,00;36,22;199114,4605;0,93;38,123711;35,31095893;35,31095893
149,00;33,93;163659,9223;0,55;50,50920912;27,81259946;27,81259946
150,00;16,21;17825,62325;0,96;16,69741228;15,96443201;15,96443201
151,00;18,71;27444,34232;0,71;23,49120651;16,700499;16,700499
152,00;25,23;67283,53392;0,87;27,7402376;24,06328994;24,06328994
153,00;24,25;59727,82598;0,42;43,17861878;18,17229072;18,17229072
154,00;28,40;95977,65043;0,92;30,13124096;27,57606176;27,57606176
155,00;21,30;40465,61049;0,79;24,8667199;19,71013017;19,71013017
156,00;12,93;9049,045146;0,63;17,66270646;11,05932058;11,05932058
157,00;13,53;10372,07306;0,83;15,25957441;12,73846999;12,73846999
158,00;15,83;16624,15746;0,95;16,40129952;15,5555864;15,5555864
159,00;23,69;55661,83103;0,64;31,83390936;20,43099192;20,43099192
160,00;29,99;112951,3637;0,59;42,8491467;25,08593807;25,08593807
161,00;21,30;40465,61049;0,74;25,93640353;19,29940262;19,29940262
162,00;35,60;188970,0486;0,77;42,39940395;32,619125;32,619125
163,00;11,63;6590,937531;0,46;19,61193714;8,957133493;8,957133493
164,00;33,79;161641,0507;0,69;43,42351918;29,81048345;29,81048345
165,00;38,89;246334,9514;0,54;58,59511466;31,68020691;31,68020691
166,00;18,28;25594,56478;0,85;20,43263192;17,29288343;17,29288343
167,00;23,85;56850,31506;0,58;34,33532953;19,88160876;19,88160876
168,00;14,66;13192,26783;0,59;20,75864514;12,31731144;12,31731144
169,00;14,38;12466,19268;0,66;19,05772647;12,49646187;12,49646187
170,00;21,85;43701,93721;0,46;36,59998384;16,88362093;16,88362093
171,00;21,85;43701,93721;0,73;26,86255382;19,70753881;19,70753881
172,00;20,92;38354,63441;0,75;25,38534151;18,99210549;18,99210549
173,00;17,16;21162,95941;0,72;21,30417093;15,39967573;15,39967573
174,00;9,87;4031,604732;0,66;13,06684647;8,582410326;8,582410326
175,00;10,17;4407,464687;0,74;12,47898535;9,182490308;9,182490308
176,00;25,89;72715,7818;0,94;26,92215418;25,39306537;25,39306537
177,00;10,93;5462,742159;0,53;16,69531781;8,838197479;8,838197479
178,00;31,57;131807,5887;0,84;35,33028017;29,84367915;29,84367915
179,00;18,50;26514,07599;0,70;23,48598621;16,41683914;16,41683914
180,00;17,39;22026,68842;0,68;22,41858482;15,31532448;15,31532448
181,00;21,67;42613,95378;0,87;23,70594288;20,71586126;20,71586126
182,00;16,45;18641,9865;0,78;19,34705725;15,16681298;15,16681298
183,00;12,62;8410,44174;0,71;15,84561996;11,25668416;11,25668416
184,00;16,45;18641,9865;0,70;20,77456453;14,63645242;14,63645242
185,00;10,93;5462,742159;0,90;11,76125205;10,53014298;10,53014298
186,00;8,92;2973,540194;0,55;13,23058825;7,324922348;7,324922348
187,00;16,93;20310,82502;0,81;19,45310736;15,7879225;15,7879225
188,00;10,17;4407,464687;0,34;20,81866929;7,109247482;7,109247482
189,00;6,31;1051,305217;0,73;7,796807945;5,673638839;5,673638839
190,00;13,60;10541,64166;0,63;18,59058906;11,6349158;11,6349158
191,00;28,56;97579,72987;0,82;32,46828208;26,7858755;26,7858755
