a,b,c
12.27138311,4.405549703,4.405549703
22.80912663,4.916670125,4.916670125
5.755990254,3.824849411,3.824849411
8.936577451,4.160611819,4.160611819
14.01545084,4.425116263,4.425116263
8.936577451,4.160611819,4.160611819
5.755990254,3.824849411,3.824849411
5.630721943,4.163775806,4.163775806
8.936577451,4.160611819,4.160611819
5.755990254,3.824849411,3.824849411
5.755990254,3.824849411,3.824849411
15.69493297,4.605212129,4.605212129
5.755990254,3.824849411,3.824849411
14.20216877,6.552101738,6.552101738
11.62894823,5.868983554,5.868983554
11.62894823,5.868983554,5.868983554
10.78201436,6.0951326,6.0951326
17.27659585,6.042415246,6.042415246
10.78201436,6.0951326,6.0951326
17.47920564,6.007292914,6.007292914
21.10083573,6.836175138,6.836175138
6.488912248,5.133351272,5.133351272
9.291859148,4.565926797,4.565926797
32.7871149,9.887798995,9.887798995
11.54354598,7.961273313,7.961273313
7.942372914,6.9394638,6.9394638
11.59691263,8.30511103,8.30511103
15.10684315,9.288401665,9.288401665
17.25879807,9.581273371,9.581273371
36.75575922,10.44928725,10.44928725
46.32291577,11.30129832,11.30129832
14.19816452,9.016875823,9.016875823
17.67404073,12.69187439,12.69187439
27.18152895,9.812113409,9.812113409
29.225138,12.35957751,12.35957751
14.12628531,11.26114215,11.26114215
5.920832418,3.274716546,3.274716546
29.52316365,15.6702777,15.6702777
26.60411889,15.65665736,15.65665736
11.42719537,8.46578607,8.46578607
25.53905617,13.73990945,13.73990945
39.86370671,14.67623558,14.67623558
15.23279857,9.077007541,9.077007541
38.50286516,14.37262908,14.37262908
19.58066865,12.05812917,12.05812917
27.11564199,13.39219936,13.39219936
14.55904708,11.85022242,11.85022242
16.85360729,12.68971739,12.68971739
17.98780619,12.12673348,12.12673348
34.26136719,12.75019084,12.75019084
17.47706024,13.46645041,13.46645041
25.5984526,15.297736,15.297736
31.67875093,16.60047748,16.60047748
19.77706491,10.26424661,10.26424661
18.17010849,14.03885772,14.03885772
19.62309898,17.15519527,17.15519527
29.35401618,15.01070598,15.01070598
58.5526721,14.32703733,14.32703733
20.13210771,9.321026818,9.321026818
47.40050623,17.95061423,17.95061423
18.66149673,15.14258765,15.14258765
25.77957304,14.86202298,14.86202298
25.37498634,17.06018445,17.06018445
20.4925801,15.70166019,15.70166019
21.18992887,18.6396845,18.6396845
20.42317744,16.42685953,16.42685953
19.51875963,17.85525837,17.85525837
13.24220479,7.321708798,7.321708798
5.957798479,4.424769363,4.424769363
23.31742473,18.13400838,18.13400838
32.20250735,20.69679699,20.69679699
44.14794617,18.95171612,18.95171612
34.92945068,19.50161383,19.50161383
24.29871429,19.57635921,19.57635921
27.97853883,19.70906897,19.70906897
25.95370681,22.42414009,22.42414009
16.10730169,12.1621255,12.1621255
25.3181634,18.92822881,18.92822881
22.03998709,19.04545169,19.04545169
8.449774004,5.450013254,5.450013254
19.25005366,9.827472349,9.827472349
10.5470113,7.580708174,7.580708174
26.22322456,17.33462732,17.33462732
9.653290181,5.846128526,5.846128526
19.1246201,16.5818847,16.5818847
28.6121308,22.86218421,22.86218421
15.31951229,11.55550429,11.55550429
22.90239256,13.32032001,13.32032001
24.69797323,20.73801441,20.73801441
18.42484621,11.96875832,11.96875832
14.0331466,9.640143871,9.640143871
38.15913254,21.28152864,21.28152864
17.52774382,14.14256202,14.14256202
19.92585293,9.275525429,9.275525429
5.920832418,3.274716546,3.274716546
35.94192189,13.50148261,13.50148261
40.19046055,26.73418104,26.73418104
11.75698331,7.770422821,7.770422821
26.97885456,21.99571849,21.99571849
12.51762838,3.787708672,3.787708672
